ztfname,zHD,zHDERR,mB,mBERR,x1,x1ERR,c,cERR,cov_mB_x1,cov_mB_c,cov_x1_c,host_logmass,host_logmass_err,host_logmass_local,host_logmass_local_err,host_color,host_color_err,host_color_local,host_color_local_err,HR_tripp,HR_tripp_err,HR_tripp_err_nosigint
ZTF18aaiykoz,0.0304309,2.397e-05,16.07055157230758,0.03195369187830517,0.925731,0.0332285,-0.048003,0.0260838,-0.0001861647253331664,0.0007244783979163176,-0.000235532,9.939,0.105304320899002,9.55,0.047,0.69969653,0.019849433241,0.83769653,0.019104973175,-0.21720502988853746,0.1785452940258898,0.054574921152406974
ZTF18aakglgw,0.0375588,1.443e-05,17.65633912000793,0.037732534945820906,-1.84862,0.0712266,0.163908,0.0307926,0.0008533428391967417,0.0010298602042952821,0.000475067,11.307,0.1640121946685672,8.526,0.082,1.33769653,0.018439088915,1.45469653,0.052325901808,-0.08062012328337263,0.18061237802151056,0.06099861551367396
ZTF18aaklpdo,0.044952,1.414e-05,17.23216304272495,0.034694348925713554,-0.935072,0.125161,-0.157335,0.0334354,0.0005242436256652507,0.0009075417029151598,-0.000441783,10.659,0.1358823020117042,10.32,0.069,1.19569653,0.018439088915,1.17169653,0.018439088915,0.21879850501572531,0.18875149770068125,0.08201907024741424
ZTF18aalurka,0.0287899,0.00015044,17.562632217209945,0.05430660035642845,1.12553,0.501858,0.253598,0.0472024,0.00844051864346745,0.002144534020758917,-0.00137303,10.623,0.1041201229350023,8.998,0.08,1.21469653,0.019209372712,1.19669653,0.022671568098,0.5183550269200566,0.22015759599952386,0.13989055392087615
ZTF18aamlhee,0.0430036,1.53e-05,17.58870976082107,0.0774536029475527,-0.919714,0.156032,0.116774,0.0533931,-0.004335731255647466,0.0038667614999761775,-0.00430728,11.028,0.1624315240339756,8.794,0.11,1.36469653,0.019209372712,1.32069653,0.032202484376,-0.13909617971925445,0.2011952212268866,0.10760816439534611
ZTF18aamlqqh,0.06,0.001,17.827742180831716,0.034142221231694886,-1.37194,0.0936724,-0.0630807,0.0295693,0.0004993896481966183,0.0008247598633011196,-0.0002321,9.1,0.1080786750473931,8.81,0.048,0.47169653,0.026076809621,0.86669653,0.034058772732,-0.16307581054240922,0.1831457266070816,0.0681348455229471
ZTF18aansqun,0.0596448,1.364e-05,19.002352607410224,0.03537901077292355,-1.19483,0.105277,0.275864,0.0290653,0.0007677807684822341,0.0008886629604779031,0.000268598,10.246,0.1062826420446913,9.766,0.034,0.92569653,0.019104973175,1.02869653,0.017691806013,0.02917777797960757,0.1807229667174607,0.06132528596884323
ZTF18aaodrgt,0.0516213,1.545e-05,17.70750713496527,0.03878216020101472,-1.54997,0.123738,-0.097418,0.0343348,0.0011351263559066693,0.0010623950092842561,-7.55225e-05,11.251,0.1656019323558756,6.991,0.531,1.29569653,0.017691806013,1.20269653,0.566095398321,0.12066559096126758,0.18812921106190192,0.08057667190182054
ZTF18aaoxrup,0.040864,0.00341211,17.443314718295277,0.036214728915630066,-1.79609,0.0604178,0.148379,0.0293185,0.00019464312341059718,0.0009230542652006642,2.64593e-05,10.627,0.1546738504078824,10.388,0.055,1.35369653,0.017691806013,1.37069653,0.017691806013,-0.3882278546218553,0.18034983375104807,0.060216796112303
ZTF18aapqwyv,0.0559644,2.693e-05,18.49417599067565,0.03492718488671526,-1.84231,0.0702672,0.0970143,0.0299621,0.0003089348082617704,0.0008814785222250975,-9.21832e-05,10.052,0.1171366723105962,9.739,0.03,1.17769653,0.017691806013,1.13869653,0.018384776311,0.10849355523301177,0.18220132449391016,0.065553967441606
ZTF18aaqfziz,0.0538261,1.799e-05,18.17990929277507,0.0403500768472139,-1.07781,0.106411,0.151953,0.0329617,0.0010662277697797782,0.0010941353614219655,-7.65216e-05,10.801,0.1044030650891055,8.976,0.052,1.12569653,0.019209372712,1.15669653,0.030232432916,-0.1800598265733763,0.1854321751388111,0.07406140409626803
ZTF18aaqqhis,0.0595007,0.00042011,17.870709533578594,0.03852019129933856,0.443103,0.135972,0.0541136,0.0307377,0.002150911687792978,0.0010173030202281002,0.000964255,9.893,0.1012719112093773,9.602,0.013,0.99469653,0.018384776311,0.98869653,0.018384776311,-0.20036123677303141,0.18159481130240737,0.06384884879116405
ZTF18aarbaba,0.0594078,0.00010721,18.06421329221242,0.0337236802518051,-1.68937,0.117248,0.0270735,0.0285908,0.00025662101275236964,0.0008343331886666856,6.50016e-05,11.007,0.1038460398859773,10.265,0.096,1.31369653,0.016970562748,1.40169653,0.018439088915,-0.22057347162594226,0.1808756107029126,0.0617736719578138
ZTF18aarikzk,0.0563406,1.653e-05,18.295785111574652,0.03459016659777528,-2.40874,0.115052,-0.0418461,0.0296103,0.00038229662737432937,0.0008528734660418982,-6.83386e-05,10.261,0.1256025477448606,9.91,0.056,1.27469653,0.018439088915,1.29669653,0.017691806013,0.23415369573029068,0.1826039238704162,0.06666478090320821
ZTF18aaripcr,0.0341471,1.178e-05,16.46887162688479,0.03631608410054228,0.712236,0.107241,0.0234642,0.0282472,0.0009937628830310582,0.000882151602692775,0.000233084,10.808,0.1016070863670443,7.957,0.242,1.06469653,0.019209372712,2.22669653,1.068656165471,-0.3154660346258791,0.18015050542680372,0.059617150263433706
ZTF18aaroihe,0.0482529,1.647e-05,17.64306490527106,0.035775352215379884,-1.96199,0.0724717,-0.045023,0.029052,0.0004992714380118319,0.0009058612072969203,0.000214456,10.723,0.1616446720433432,9.017,0.136,1.32169653,0.018439088915,1.38569653,0.033941125497,-0.015552180869746919,0.18004394259187548,0.059294361148650124
ZTF18aasprui,0.0379607,1.274e-05,17.377064802460435,0.033284625980945184,-2.01335,0.04806,-0.00503985,0.0277344,-0.00011350929221756594,0.0007968429191209696,-0.000132543,10.128,0.1062826420446913,9.369,0.048,1.00069653,0.019104973175,0.96369653,0.021931712199,0.1081903483749928,0.17968524395603644,0.058196107219816016
ZTF18aatrkga,0.028819,0.00047797,17.07520521422797,0.03568175198128384,0.19526,0.0785664,0.241432,0.0303539,0.00015170209374006303,0.0009370527323639491,-0.000166201,9.759,0.1062826420446913,9.135,0.06,0.73369653,0.019104973175,0.88969653,0.019104973175,-0.06492966525701467,0.1821457686785059,0.0653993963847051
ZTF18aauizcr,0.0338424,1.431e-05,16.77379637546064,0.03660270816577292,-1.82427,0.110888,-0.0666501,0.0305601,0.000753722797553453,0.0009592867612071022,0.000206971,10.518,0.1232233744059949,8.798,0.028,1.23069653,0.019849433241,1.15969653,0.105118980208,-0.07604017109628504,0.18222464533487825,0.06561875774061987
ZTF18aaumeys,0.0365484,1.75e-05,16.732132998145445,0.032575166332833694,0.751638,0.0568763,-0.0317072,0.0267166,-5.19393973704601e-06,0.000751646466856669,-0.000168881,9.009,0.1019803902718557,8.066,0.037,0.74569653,0.027459060435,0.67169653,0.058821764679,-0.006756530048125771,0.17916046821879733,0.056555047275894665
ZTF18aaupmks,0.0404586,0.00051827,16.74741303316934,0.03451724220027226,-0.0904927,0.0863912,-0.0777608,0.0311874,5.79835688915955e-05,0.0008923795456509898,-0.000169605,10.19,0.1118033988749895,9.604,0.016,1.07769653,0.017029386366,1.05169653,0.017804493815,-0.14484356393417347,0.18392665647495526,0.07020694383076505
ZTF18aauvnhh,0.0583078,1.361e-05,18.32623428557912,0.03678366055447233,-0.451611,0.130067,0.176517,0.0290398,0.001588378655791379,0.0009291409354558797,0.000803969,9.843,0.1066255128944288,9.144,0.025,0.84869653,0.020615528128,0.90569653,0.026076809621,-0.19396438856771156,0.1800043484895609,0.05917402703172466
ZTF18aauworo,0.0498142,1.555e-05,17.47947198909823,0.042871550571319826,-0.153691,0.148613,-0.0432515,0.0314504,0.00031602754356579754,0.0011327712655604262,-2.03107e-05,9.363,0.1062826420446913,7.024,0.204,0.79769653,0.027658633372,0.17469653,0.359555280868,0.0002958950103585968,0.1829030074228932,0.06747970157268718
ZTF18aauxltf,0.0586216,1.52e-05,17.770159774816825,0.0393810245112427,1.18222,0.274775,0.0343275,0.0320396,0.0036459130570585933,0.0010344217695573454,0.00117643,10.74,0.1338693392827498,8.537,0.097,1.20769653,0.017691806013,1.19069653,0.132136293273,-0.10511943130747971,0.18766172856720442,0.07947908132855527
ZTF18aavjnfx,0.0550678,0.00308707,17.761341458947825,0.04037890492110746,1.97519,0.278849,-0.0110529,0.0332048,0.0036685840826784707,0.0010733133936542312,0.000245441,8.645,0.1104943437466371,7.631,0.254,0.72569653,0.061911226769,0.74569653,0.205761998435,0.27044974177226416,0.19142311725830946,0.08799323735883621
